번호,자산명,위협유형,위협설명,취약점,영향도,발생가능성
1,신제품 설계도면,외부 침입,외부 해커의 네트워크 침입을 통한 설계도면 탈취,"방화벽 설정 미흡, VPN 보안 약함",높음,높음
2,고객승인서류,내부자 유출,승인권한을 가진 내부 직원의 고의적 정보 유출,"내부 모니터링 체계 부재, 접근권한 과다",매우높음,중간
3,품질매뉴얼,시스템 장애,시스템 하드웨어 장애로 인한 품질문서 손실,"백업 시스템 구축 미흡, 이중화 부재",중간,낮음
4,PLM 시스템,해킹공격,PLM 시스템 대상 표적 공격으로 설계 정보 유출,"패치 관리 부실, 접근제어 미흡",높음,중간
5,ERP 시스템,악성코드,랜섬웨어 감염으로 인한 ERP 시스템 데이터 암호화,"백신 업데이트 지연, 사용자 보안교육 부족",매우높음,높음
6,그룹웨어 시스템,권한 오남용,권한 관리 미흡으로 인한 무권한 접근,"권한 관리 정책 미흡, 정기 점검 부재",중간,높음
7,홈페이지,웹사이트 변조,웹 애플리케이션 취약점을 이용한 홈페이지 변조,"웹 보안 점검 부족, 입력값 검증 미흡",낮음,중간
8,백업시스템,백업 실패,백업 프로세스 오류로 인한 데이터 복구 불가,"백업 정책 부재, 복구 테스트 미실시",높음,낮음
9,테스트 결과서,부주의한 공개,담당자 실수로 인한 기밀 정보 공개,"문서 분류 체계 미흡, 교육 부족",중간,높음
10,고객제안서,경쟁사 탈취,경쟁사 관련자의 고객정보 탈취 시도,"고객정보 접근제어 미흡, 암호화 부족",높음,중간
