자산번호,자산명,관련 위협,취약점,자산가치(A),위협수준(T),취약성수준(V),위험도,위험등급,대응방안
DOC-001,신제품 설계도면(P-2025-01),"외부 침입, 내부자 유출","방화벽 설정 미흡, 접근권한 관리 부실",9,8,7,50.4,상 (High),위험 감소 (Risk Reduction) - 즉각적인 통제책 구현 필요
DOC-002,고객승인서류(현대차),"내부자 유출, 부주의한 공개","내부 모니터링 체계 부재, 분류 미흡",8,7,6,33.6,중 (Medium),위험 감소 (Risk Reduction) - 계획에 따른 통제책 구현
DOC-003,품질매뉴얼(QM-001),시스템 장애,백업 시스템 부재,6,5,4,12.0,하 (Low),위험 수용 (Risk Acceptance) - 모니터링 유지
DOC-004,내구성 테스트 결과서,"부주의한 공개, 내부자 유출","문서 분류 체계 미흡, 접근제어 부족",8,6,5,24.0,하 (Low),위험 수용 (Risk Acceptance) - 모니터링 유지
DOC-005,고객제안서(2025),"경쟁사 탈취, 내부자 유출","암호화 부족, 접근통제 미흡",6,7,6,25.2,하 (Low),위험 수용 (Risk Acceptance) - 모니터링 유지
SW-001,PLM 시스템(설계개발),"해킹공격, 악성코드","패치 관리 부실, 인증 체계 약함",10,9,8,72.0,상 (High),위험 감소 (Risk Reduction) - 즉각적인 통제책 구현 필요
SW-002,SAP ERP 시스템,"악성코드, 내부자 유출","백신 업데이트 지연, 접근통제 미흡",10,8,7,56.0,상 (High),위험 감소 (Risk Reduction) - 즉각적인 통제책 구현 필요
SW-003,그룹웨어 시스템,"권한 오남용, 악성코드",권한 관리 정책 미흡,7,6,6,25.2,하 (Low),위험 수용 (Risk Acceptance) - 모니터링 유지
SW-004,회사 홈페이지,웹사이트 변조,"웹 보안 점검 부족, 입력값 검증 미흡",4,5,4,8.0,하 (Low),위험 수용 (Risk Acceptance) - 모니터링 유지
SW-005,백업 관리 시스템,"백업 실패, 시스템 장애","백업 정책 부재, 복구 테스트 미실시",9,7,8,50.4,상 (High),위험 감소 (Risk Reduction) - 즉각적인 통제책 구현 필요
